Pseudowort	Loss (max)	Loss (min)	Anz. Schritte
war1770	6.25	4.43	1495
war1846	1.99	0.0289	7890
war1881	2.7	0.0553	7944
waren1459	7.45	5.96	1513
waren1770	8.0	6.45	1657
waren1881	3.63	0.278	4999
was1029	2.54	0.0371	7732
was13	7.18	0.679	2497
was1459	5.57	4.88	1261
was1846	3.86	0.585	1781
weder12	3.24	3.14	1225
wegen1629	4.82	0.566	1916
wegen1772	3.36	2.08	1417
weil674	4.61	3.99	1331
weil681	4.56	3.21	1556
welch15	13.5	5.5	1661
wenig762	6.85	4.07	1660
wenigsten488	12.6	8.43	1661
wenigsten492	10.2	5.8	1781
wenn1291	3.05	0.317	1997
wenn136	5.52	5.07	1475
wie101	8.44	7.45	1293
wie103	10.9	9.0	1270
wie125	5.2	4.53	1282
wie130	4.26	3.72	1225
wie1346	6.27	4.13	1661
wie136	6.26	5.21	1475
wie1738	5.86	3.27	1583
wird1660	2.53	0.134	7669
wird605	4.26	0.158	2499
wogegen320	17.4	15.6	1441
wohingegen320	19.5	19.2	1289
wohl11	6.77	6.18	1361
wohl1134	5.49	2.58	1431
wäre130	3.65	2.82	1495
wäre1660	2.8	0.173	7752
wäre1756	5.36	4.28	1813
wäre1846	1.43	0.0315	7680
wären1756	10.8	2.34	3331
wärest1756	9.71	3.24	7703
wärst1756	17.6	6.58	3330
würde392	4.31	3.78	1759
würden392	5.48	4.29	1450
würdest392	3.95	0.887	4176
zu1034	6.26	5.91	1293
zu1035	7.83	4.23	1556
zu1347	4.82	3.5	1398
zu1574	5.98	0.723	4999
zu320	4.36	4.1	1277
zum1313	4.16	0.786	1593
zum1630	7.68	7.38	1297
«Besser1762	10.9	4.51	2499
«Keine949	5.46	0.818	7697
«Raus1316	6.73	1.45	4999
»Entweder1779	7.17	1.88	7658
»Raus1316	10.6	3.7	4999
Ähnlich123	3.17	1.83	1371
ähnlich123	3.79	3.66	1233
ähnlich139	4.87	4.18	1333
